Type,ServedBy,Ip,Host,DRAC_IP
RAS,SPG,10.7.228.14,ras1.SPG.gwn,10.7.228.44
Test Application Server,SMMC,10.9.230.20,apptest.SMMC.gwn,10.9.230.41
RAS,JDC,10.7.52.14,ras1.JDC.gwn,10.7.52.44
Video Server,ORLV,10.8.40.28,vls2.ORLV.gwn,10.8.40.48
Video Server,OLA,10.7.0.27,vls3.OLA.gwn,10.7.0.47
Video Server,CAR-E,10.9.0.29,vls1.CRLE.gwn,10.9.0.49
Video Server,BAY-E,10.9.56.29,vls1.SAN.gwn,10.9.56.49
RAS,CIN,10.7.200.14,ras1.CIN.gwn,10.7.200.44
Video Server,GSM,10.220.0.29,vls1.GSM.gwn,10.220.0.49
Video Server,LEG-E,10.181.240.29,vls1.LESC.gwn,10.181.240.49
Application Server,MMB,10.5.224.10,appserver.MMB.gwn,10.5.224.40
Application Server,OLO,10.7.4.10,appserver.OLO.gwn,10.7.4.40
Video Server,CMC-E,10.7.160.28,vls2.CCL.gwn,10.7.160.48
Video Server,SPG,10.7.228.28,vls2.SPG.gwn,10.7.228.48
RAS,CMC-E,10.7.56.14,ras1.CMC-E.gwn,10.7.56.44
Video Server,WMC,10.5.24.28,vls2.WMC.gwn,10.5.24.48
Video Server,UPR,10.7.12.27,vls3.UPR.gwn,10.7.12.47
Video Server,CMC-E,10.7.160.29,vls1.CCL.gwn,10.7.160.49
Application Server,LFV,10.8.72.10,appserver.LFV.gwn,10.8.72.40
RAS,KPNC-E,172.18.120.104,ras2.KPNC-E.gwn,172.19.97.91
RAS,CARO,10.9.88.14,ras1.CARO.gwn,10.9.88.44
Video Server,OCM,10.7.238.29,vls1.OCM.gwn,10.7.238.49
RAS,PSHC,10.7.220.15,ras2.PSHC.gwn,10.7.220.45
Video Server,DSJ,10.7.180.29,vls1.DSJ.gwn,10.7.180.49
Video Server,JDC,10.7.52.28,vls2.JDC.gwn,10.7.52.48
Application Server,SFV,10.8.44.10,appserver.SFV.gwn,10.8.44.40
Video Server,RDL,10.5.8.29,vls1.RDL.gwn,10.5.8.49
Application Server,ORLV,10.8.40.10,appserver.ORLV.gwn,10.8.40.40
Video Server,FARV,10.8.80.29,vls1.FARV.gwn,10.8.80.49
Video Server,RSM,10.5.132.29,vls1.RSM.gwn,10.5.132.49
Test Application Server,SPM,10.7.20.20,apptest.SPM.gwn,10.7.20.41
Application Server,FWC,10.5.56.10,appserver.FWC.gwn,10.5.56.40
Video Server,CNM,10.5.16.29,vls1.CNM.gwn,10.5.16.49
Video Server,UCM,165.68.88.29,vls1.UCM.gwn,165.68.88.39
Application Server,LLE,10.5.232.10,appserver.LLE.gwn,10.5.232.40
Video Server,WDCV,10.8.88.28,vls2.WDCV.gwn,10.8.88.48
RAS,MOF,10.9.96.14,ras1.MOF.gwn,10.9.96.44
Test Application Server,CLVT,10.9.144.20,apptest.CLVT.gwn,10.9.144.41
Video Server,STXV,10.8.148.28,vls2.STXV.gwn,10.8.148.48
RAS,CMG,10.9.136.15,ras2.CMG.gwn,10.9.136.45
RAS,VAL,10.9.108.15,ras2.VAL.gwn,10.9.108.45
Video Server,WELL-E,10.9.82.28,vls2.WELP.gwn,10.9.82.48
Video Server,TSPM,10.9.124.28,vls2.TSPM.gwn,10.9.124.48
